Class,Data
-1,Cap Nhat tinh hinh sau khi di bao hanh ve ben logitech thong bao chuot binh thuong khi ket noi bluetooth voi mac air. Minh mang mac pro ra ngoai svhouse ket noi vs bluetooth con mv anywere 2 thi van co hien tuong lag ...... gio mang ve xai tam chu cha biet giai quyet sao luon. Tinh lam cai mail gui svhouse de hoi thuc ben logitech ma cha biet the nao..... may ban xai mac pro 10.11.3 ket noi bluetooth thi bt a??? Chac kiem chuot khac cam test thu xem sao qua.
-1,"co ai mua con nay dung luc re no bi dut quang khong, e dung thay bi kho chiu qua, re no khong duoc deu."
-1,"Vua di bao hanh con nay nut middle. Chuot logitech cao cap hinh nhu khong tot. Truoc day xai con M905 cung bi loi double click khong sua duoc. Cung may, Thanh Nhan doi cho con moi. Gio den con nay thi cung bi loi. Cho do minh xui"
-1,chua co cach khac phuc nhe mang dem di bao hanh roi ma van bi cha hieu sao logitech keu xai bt ..... thoi ve cam cai cuc kia vo xai luon cho lanh. do re re thi ok dung vo dat ti thi bi te le
-1,"Sao minh dung no lag vai linh hon luon, chan that 1tr8 bluetooth ma gio dang dung usb reciver. Minh dung mac pro 2015 13 ich, co cach nao khac phuc khong chu bo tien ra mua con nay de dung bluetooth ma gio xot qua"
-1,"Khuyen cac bac khong nen mua chuot bluetooth, xai chan vai, em cung dang dung con nay nhung khong bao gio dung chuc nang bluethooth ca, lag lam, xai may con bluethooth ke ca magic mouse, chua con nao ra hon, den gio nay em van khong hieu noi tai sao chuot bluetooth lai beo vay, vi ve ky thuat ma noi, bang thong du suc de lam chuyen don gian nay, ngay ca nhac nheo con truyen ngon o co ma."
-1,"Da dung thu em no, cam giac khong duoc hoan thien lam, noi chung la next luon"
-1,"dung roi, nhu apple co lam ra duoc cai gi dau, con A9 apple con chom cua hoi nghien cuu sinh dai hoc wicousin."
-1,Con nay no khong co cong am thanh muon xuat ra chi co moi duong hdmi nhi . Cung bat tien o khoan do
-1,Ky niem tuoi tho toi. Moi toi dat qua eo co tien mua.
-1,khong the cai them game moi la khong on roi.
-1,khong co trien vong doanh so ban roi
-1,"cho 1 cai cuc 30 game voi gia 60$ , khong cai duoc game moi hoac cam bang cu > hang nay tinh troll fan cua dong nay chac :v . neu da suu tam thi ho mua cai may doi cu cho roi ... du la doanh so tham hai cho xem"
-1,"Moi khong ra moi , cu khong ra cu , do do uong uong chang cam nhan duoc gi tu san pham nay"
-1,"da noi suu tam thi ng ta suu tam cai may co lo si kia chu cha ai do hoi di mua may nay. moi cha ra moi, cu cha ra cu. tinh ra thi thang nintendo vu nay hut mau ng dung con gi."
-1,"khong cai them duoc game, khong cam duoc bang...the thi mua lam gi nhi, trong khi may cu van co ng ban . hang tau thi tran lan. gia lap thi luon san sang."
-1,Qua dat cho 1 cuoc tinh. Cai man hinh chi dang 200$. Neu bo them toi 300$ thi toi ki vong phai co pin du xai 5 tieng.
-1,"Ban chat 2 van de nay la khac nhau. Apple thiet ke san pham de ai cung dung duoc, con Microsoft thiet ke san pham de khong ai them dung."
-1,"Xbox thi thich moi cai gamepad cua no, con lai vut =)) Everything I do, I do on my PC"
-1,"Thanks ban vi bai chia se hay, tiec la 90% so do khong ung dung o cai vung trung cong nghe cua TG. Minh la nguoi da co lan hoi ban ve cach ung dung apple watch trong cuoc song de xem co nen mua hay khong. Cau tra loi den gio van la Khong. Cho doi su dong bo ha tang (bank, thanh toan truc tuyen...) hoac cho doi nhung chuc nang hop ly cho ng Viet (camera, sim roi, pin lau...). Tks anyway"
-1,toan ba cai ung dung mang tu dien thoai sang thi mua them cai nay lam khi gi
-1,"van khong hieu nhieu nguoi cu thich sw phai co sim roi de lam gi, dua dong ho len mieng la da thay di roi, chang tha mua cai dien thoai cui bap 2 sim 2 song kiem tai nghe bluetooth luon co phai ngon khong"
-1,"Bo ra 8-10tr de mua mot san pham co the huu ich hoac khong huu ich. Day gap 3 lan, pin kem 2000 lan, gia gap 2 lan dong ho binh thuong."
-1,"That tiec la da so nhung ung dung tren deu khong su dung duoc hoac chua that su hieu qua tai Viet Nam co ban thi minh cung co cung quan diem voi bac chu topic ve khai niem su dung smartwatch vao thoi diem hien tai.Trung binh 300-400$ la 1 khoan tien khong nho,kiem 300-400$ tai Viet Nam cung khong phai don gian nhung viec 1 nguoi bo ra 300-400$ de thoa man dam me cua minh thi ngay ca o Viet Nam cung dau phai cai j do qua khung khiep.Minh thay la la co rat nhieu nguoi vao comment cai kieu ""cha de lam j"", ""nang bi"", ""phi tien"",...Minh khong noi ban co tien de mua hay k,nhung don gian la ban vao doc,k thk ban co the di ra va tim 1 topic khac dung so thk cua ban.Ban khong can phai tho ra nhung cau cha lien quan kieu nhu vay de nguoi khac khong mua giong minh cho do cam thay lac long vs xu huong cua the gioi"
-1,"ban nay noi la quen tien mat vs the thi co apple pay tren apple watch de dung, noi that la co cai nay iPhone no cung co, ma nhieu khi quen deo dong ho hon la quen mang vi hay la dien thoai, nhat la doi vs 1 cai dong ho phai sac moi ngay nhu cai nay, noi chung minh thay cung khong thiet thuc lam, neu du gia thi co the mua de trai nghiem, chu con bao de dung nhu 1 phan mo rong thi cung dung cung khong, khong vi no chua tuong xung vs cai gia cua no, vi bo ra so tien bang hoac hon 1 cai iPhone chi de mo rong 1 so tinh nang la chua thuyet phuc. Ca nhan minh cung dung duoc 2 tuan nhung that su doi luc minh thay lay dien thoai ra no van tien loi hon rat nhieu, khong bay nhieu nhu chu thot de xai cai boarding pass tren apple watch, cung tam thoi chua xai duoc Apple Pay vi Canada chua ho tro, Uber khi nao nhau say lam quen het duong ve moi goi chu cung khong thuong xuyen, tap the duc thi it ma cung cha theo doi may cai thong tin day nhieu. Minh tu nhan la heavy user nen thay pin cung hoi chan. Cai thuong xuyen nhat minh dung chac la Starbucks Card"
-1,"tru scan thanh toan ra thi nhung cai con lai nhu vo dung, dung smp de chiu hon, tu dung mang them cuc tuc tren nguoi"
-1,"vu nay hoi chem gio. Pin cua Apple watch chi duoc 1 ngay, thuong la phai charge qua dem thi sao ngu day co dong ho tren tay duoc. Hoac la chap nhan ban ngay khong xai de deo ban dem khi ngu"
-1,"100% la cai nay eo duoc ua chuong o vn tu tinh nang cho den...moi thu. Tinh nang thi chung ta da ro, no cung nhu nhieu sw khac chi ho tro tot o My vs mot so nuoc tu ban giay chet khac. Ve viec dung, giang ho don tien mua cai 6 Plus, phan lon den dam dong de khoe. Dung cai nay thi khoe cai 6 plus, 6 s plus the quai nao duoc? Khong le vua nhin dong ho vua moc dien thoai nhin???"
-1,"gia tien cao , tien ich khong qua noi troi , Pin con yeu . =>khong dang dong tien bat gao . cho nang cap them roi tinh tiep ."
-1,"Thay cai ung dung vao viec doc bao cua ban nay hoi bi guong gao va hai huoc. Voi cai man hinh be ti cua apple watch thi viec doc bai bao 100 tu cung da met moi roi. Dua cai viec doc bao ra la de co gang noi cai loi ich cua no chu thuc te minh mo dien thoai doc cho suong mat chu doc tren cai apple watch lam gi? Ban do cung the. Rat kho khan de nhin duoc va nhin cac vung. Phai thao tac tren phone truoc roi chuyen sang nhin dong ho. Kha rac roi, duoc cai khong phai cam phone coi thoi. Noi chung la bai viet khong phu hop o Vietnam. Co khi tieng anh cua ban nay chua du de chem tren trang nuoc ngoai nen viet tieng viet o day nen dich va chuyen qua ben Meo de dung voi muc dich"
-1,"uay bac nay noi trung nhung suy nghi cua em tu luc cai apple watch no xuat hien =)) Thich nhat cai so 2 ma bac noi.. Chuan khong the chinh. Di tap gym ghet cu phai nhet cai ip6+ trong tui. De o ngoai (ke ben) luc tap thi so tap xong dung len lai quen cam. De trong locker thi lai so missed calls voi dropped emails...... cai thu 3 ve vu dong bo thi ro rang Bluetooth la cai thu song yeu , loi dong bo va de bi can song. ma cang can thi cang hao pin de quet va giu ket noi......"
-1,Ve Vn thi dung nghia la 1 cai dong ho that
-1,"Uh. Neu coi tit bao roi thay cai nao hay thi mo ip ra coi. Nhung noi chung minh cam thay sau 1 tg dung thi se chang coi tin tren apple watch dau, ma chu yeu nhan noti sms, email, time la chinh. Ngay ca cai thoi tiet hay nhip tim cung chang quan tam may dau. Sau nay thoi luong pin voi ca man hinh apple watch to len nua thi moi nhieu ung dung duoc. Hien tai minh thay khong can co du minh song o uc. ."
-1,"em dung 1 tuan o My ma thay chan cai apple watch luon. ngoai chuc nang do nhip tim dem calo vs so buoc chay thi 90% la anh co the dung tren dien thoai voi man hinh to hon va thong tin chi tiet hon. apple watch chi co ich voi 1 phan nho nhung nguoi co dac thu cong viec nhu anh Dac chu khong the pho cap nhu 1 chiec dien thoai duoc. The nen e thay tuong lai no cung cjir nhu smart watch cua cac hang khac, gioi thieu hoanh trang roi chim dan thoi."
-1,"Chu yeu cac chuc nang hoa la canh, show hang la chinh. Nhat la nhung app nhu trinh dien PPT bang cai dong ho be ti, pin yeu. Nhieu chuc nang khac thi dung luon tren iphone hay ipad cho hieu qua cao hon, lai do phai deo them 1 thiet bi dien tu luon blutooth phai bat."
-1,Khong thay thuyet phuc de mua apple watch
-1,"eo, o my ma van thuong xuyen phai danh 6h bay di bay lai de hop a. ve Viet Nam song di ban. voi trinh do cua ban chac chan cha can ra khoi nha, nhu ong sep cu cua minh co thay den cty bao gio. quen, chua duoc dung bao gio nen muon hoi ban chut. no co camera khong, minh muon deo no o chan de soi nen tren qua. co chuc nang ra lenh bang giong noi khong, co thi no co hon dien thoai khong, minh khong thich dung giua duong noi lam nham. ma cai man hinh be vay chac minh bam khong noi. no co the ket noi den may chieu va may in qua mang khong day khong, theo nhu ban noi phai cam dien thoai vo may chieu roi dung cai dong ho nhu kieu dieu khien tu xa. neu vay minh ket noi dien thoai voi may chieu qua mang wf roi cam dien thoai dung luon tien hon. no co tinh nang gi nhan biet minh dang nhin vo no khong, hay la luc nao no cung sang or la muon nhin phai an hay lac. dem deo ma no sang co ve di nhi, giong may cai dong ho phat quang qua. duoc cai la khong so bi nguoi khac dung vo. luc nhan tin nhan hay e mail minh co the soan tin tra loi khong, hay lai phai rut dien thoai ra tra loi. a no co sac khong day khong, va dung no co nong khong. neu nong minh se mua no dung vao mua dong. co le co loi cho suc khoe. con nua khi nen may bay co can tat dong ho khong ban. nhu cau minh co the thoi. minh khong biet may cai chuc nang thanh toan do the nao vi khong co de dung. ben mmy song tien that. nhung minh khong can vi luc nao cung phai mang theo vi de dung giay to, cho minh khong mang the voi ho chieu ma bi canh sat hoi la co van de. hon nua dien thoai cung co chuc nang do."
-1,"Mua dien thoai khac lai phai nhet tui quan a? Neu gan sim duoc tren dong hho thi chi can gio tay ra xem ai goi toi va bam tai nghe blt la mghe luon thoi. Thiet bi lien lac cuc ly di dong bao gom 1 smw+ tai blt kep ao. Con smp, tablet vut cop xe, vut trong cap oke? Chu con deo smw ma tui quan van com com cai dien thoai to vat va fai rut dien thoai ra nghe hoac dua dh len mieng alo thi vut dh di cho xong"
-1,"roi khi co nguoi goi toi sim dien thoai gan tren smp thi luc do nghe bang niem tin ha, sim tren sw la so khac nhe, con neu dung dich vu chuyen cuoc goi thi khi nghe cung bi tinh tien nhu khi goi nhe, choi chuyen huong mot ngay nhan chuc cuoc goi thoi la thay tien ra di vi dau roi, sao con i dinh dung sw co sim nua khong"
-1,"Thuc ra tien nhung lai khong tien. Vi du muon nghe cuoc goi den SIM chinh thi phai chuyen cuoc goi, tu nhien lai ton tien. Chua ke neu co ai nhan den SIM chinh cung khong biet luon. Ngoai ra khi muon goi thi lai phai goi tu SIM tren watch, nhu vay moi nguoi se rat boi roi voi 2 so cua ban. Ngoai ra o nuoc ngoai viec duy tri 2 SIM voi 2 so dien thoai la ton kem va khong can thiet, moi line dien thoai ton $40-$50 chu khong it. Neu coi watch khong phai thiet bi ""noi dai"" cua phone ma la thiet bi doc lap thi cung tot, tuy nhien se can mot thoi gian nua de no co the thuc su hoat dong doc lap duoc, dac biet la ve pin. Hy vong tuong lai 5-7 nam nua thi smartphone cung khong can, chi can 2 thiet bi: smartwatch voi tablet lai laptop la du"
-1,"ban cho minh hoi, thuc te voi nhung gi ban dung thi pin duoc bao lau. noi that la nghi den pin apple watch la minh khong muon dung nhung cu hoi da vi dung ma cu phai sac moi toi thi dung la met that. sac cai phone da ngai roi."
-1,"The tuc la sw van phai ket noi voi phone con gi Noi tum lai neu van can ket noi giua watch va phone thi SIM tren watch khong de lam gi. Neu khong co ket noi thi SIM tren watch moi co tac dung va cung chi la de duy cap Internet chu goi thi tu nhien goi tu 1 so SIM la hoac chua chac nguoi khac da nghe may. SIM tren watch cung tot nhung chi nen la SIM data nhu iPad thoi, chuc nang nghe goi khong can lam."
-1,"Sau mot thoi gian su dung apple watch minh thay mot so diem chua hai long: - Khong di boi duoc, ngay nao minh cung di tap gym song di boi luon... nhung phai thao ra rat buc minh do de trong tu do cong cong so bi moc chom. - Qua phu thuoc vao iPhone... tinh nang nghe goi, nhan tin hau nhu khong co tac dung, khi ma iPhone ke ke ben minh...tru luc vao toilet di i... luc do co dien thoai nghe goi la on nhat. - O VN khong sai duoc Apple Pay... tinh nang nay co cung nhu khong. - Mat apple watch luon toi thui... nhu cai dong ho rung kim... Ps: nhinh chung dung cho biet thoi.. sau mot thoi gian 3-4 thang se thay nham chan va khong su dung duoc nhieu... toi ve lai phai cam them sac. Quen la hom sau khoi dung"
-1,chua thay dang tien lam
-1,"Apple watch thuc su ma noi minh sai thay chi don gian la xem gio, coi noti, co tap the thao thi em no huu ich( nhung cung co nhieu loai khac do chinh xac khong kem ma re hon) . Va cai minh danh gia cao la su thoi trang boi day cua apple watch thay cuc de, va kha dep. Tuy nhien khong phai khong that vong. Phan cung that vong kha nhieu. Minh sai sport space gray. Man hinh thi cuc de tray, khong phai tray to nhin thay duoc, ma no co dam dam, chieu den thi thay khong thi cung kha kho thay. Ngoai ra cai mau space gray no khong phai ma tren iphone 6, minh thay no giong voi hoi ip5, va mot van de khac xuat hien, do la minh cha lam gi, ma son no cung tu troc len, khong qua nhieu nhung cung 1 vai lo nho, trong goc cua cai nut, tu hoi troc sao khong troc ngoai be mat, troc trong hoc, khong bi tac dong gi ma cung troc. Minh thi khong biet cac mau khac the nao, space gray dung la dep, nhueng that su khong ben. Voi minh, 10tr minh mong co 1 sp tot hon la hien gio. Cha hieu apple gan day sao chu minh thay lam an song nhan."
-1,Nhin giong dong ho em be qua
-1,Da xau con dat Gia nay hot con Moto 2 hay apple watch cho roi...
-1,"Smw dau tien phai la 1 cai dong ho dung nghia, dep sang, bao gio 24/24. Sau do la nho gon, pin dung 2,3 ngay bao co cuoc goi den, lich hen, hien thi duoc thong bao va tin nhan vay thoi tham gi cho no to to bo chuc nang thua thai khong huu dung"
-1,Vai ca quang cao cho nha sam. S2 co cua doi ngoi chung mam cac con khac. Huapple watchei the best sw con chua len tieng thi con sam kia nhin de tien.
-1,Cai mat dong ho cha hop voi day da quai gi  _
-1,Hien thi kem thi mat tac dung nhi
-1,"nhin dep qua ma chay android la thay khong muon mua roi thich cai nao nghiem tuc hon, phu hop do van dong hon Garmin, Fitbit thang tien"
-1,"Chong nuoc IP x8 thi chi tuong duong 10m, thua xa Garmin Vivosmart HR (50m) ma con lam gia. Polar chi duoc cai phan mem thoi chu tinh nang phan cung thua xa Vivosmart HR. Gia VHR thi chi tam 1/2 gia M600 nay."
-1,dat va pin yeu la 2 nhuoc diem chinh
-1,"Vua ngo qua app tren GPlay thay bi danh gia te qua (diem thap), lai bat phai cho truy cap du thu chu!"
-1,"Ket noi nhu the chac bac phat dien mat, vi hoi ti la rung. Voi minh chi de cuoc goi thoi, vi di duong minh de dien thoai trong balo.Minh xai pin tam thang ruoi luon"
-1,Theo em thay thi co 2 van de: 1. day deo moi cho vao cai hu luon https://drive.google.com/file/d/0B5HmAZf5BrURY0ZUN3l3VWMwV2c/view?usp=sharing 151015-105213.jpg drive.google.com 2. Toan khoan Mi khi tao roi thi khong the delete duoc. https://drive.google.com/file/d/0B5HmAZf5BrURZHlFdFJPcHhDa3M/view?usp=sharing Xiaomi.png drive.google.com Cac bac co y kien gi khong?
-1,"Dung tren OS chan bo me, chang co chuc nang gi ca"
-1,"nan qua, xai ios khong co cai gi ngoai bao thuc vs nhan cuoc goi, zalo facebook tin nhan, phe het"
-1,"Ma mo khoa bang bluetooth minh cam thay khong hay lam, de trong tui quan can nut nguon cai no mo luon, de dien thoai dau do may dua khac no len lay xem Japan Anti Virut thi met nua haaaa, cu mo khoa bang van tay cho chac cu. goi tu Nokia1202 cua toi"
-1,"Da xai qua Mi Pulse 1S thi thay no co 2 cai do: 1 la tracking buoc chan va activities khong chinh xac so voi Misfit Shine, 2 la cuc ky hao pin dien thoai neu de no ket noi Bluetooth thuong truc. Con mot diem tru la khong coi duoc gio. Cai diem tru duoc cai thien voi Mi Band 2 nhung 2 cai kia khong biet sao..."
-1,"Ca nhan minh xai qua Misfit Shine thi thay do chinh xac trong viec tracking activities cua Xiaomi con kem lam. Ngoi xe buyt, xe may ma cung dem buoc chan. Con Shine thi khong, shine track duoc khi nao choi the thao hay dang di xe...."
-1,Cai vong nay deo do vo van kinh.
-1,Con i5+ vua day vua xau hon. cam nhan ca nhan thoi
-1,"Hic, minh da mua, su dung hon 1 tuan thi xay ra van de loi kha nghiem trong sau 2 ngay nay, giac ngu no khong theo doi nua, bao la khong co data, nhuc hon la no bi khung nhap vo thong tin buoc di, trong luc minh ngu, no bao minh di ca 2 km, vai dan, chan ghe Cac bro xem loi o day nhe https://goo.gl/photos/DfXh6yKUgsXzQrWB6 hic, co ai bi giong minh khong?"
-1,"the thi quat thoi, chu con miband 1s cua e ben ios ho tro te qua khong co chuc nang j"
-1,o cung dung luong nay thi mot thoi gian la day rat uc che. may con nay dung cho ca nhan thi khong on roai. lay con E200 cua Asus cung mong nhe vay co o SSD ngon hon
-1,"Con nay cac linh kien han chet, khoi lam module cho do ton tien lam cong ket noi. Ce N3060 co ho tro Sata va PCIe va thong so ghi SSD, nhung thuc te cac dong nay chi duoc trang bi eMMC cho re. Nom na ve ban chat cac may nay la mua windows + office ban quyen duoc tang phan cung de xai"
-1,Hong rx 470 ay chu 480 bi che p/p roi
-1,oi minh moi tim hieu thay thua 960.. voi gia khoang 3tr choi game cung ngon lam roi
-1,Yen Vi ma ra con Gtx 1060 ban 3GB nua thi may cai dam tu 480-460 chac ban cho nguoi am
-1,oi cai gia. phan khuc tam trung day u
-1,"Bac nao co cam nhan giong minh khong vay? Font chu nho, hien thi tren trinh duyet font bi loi hay sao ay ma khi go chu trong tim kiem Google deu hien chu to chu nho nhin rat kho chiu. Cam nhan dau tien khi nang cap ban Win 10 Anniversary nay la khong thien cam roi. Hoi han khi update qua di"
-1,Xau hon iphone !
-1,"S6 edge iron man vãn dẹp hon, màu den nhu này khong nỏi lám"
-1,Samsung dang di dung huong... Noi that Samsung chi can cai thien ve pin va ca ve bao mat nua thi cung du de keo ip lai roi
-1,"Ngoai viec ""chay theo"" thi ""an theo"" cung la 1 so truong cua Samsung!?!"
-1,Cung co nguoi an theo camera kep cua LG =))
-1,kiem cai logo tao dan len mat sau nua la y chang luon !
-1,Vien pin it qua. Pin 3.200 mah thi qua ngon.
-1,"Sau thoi gian copy Apple o dong flagship bi cac nem da, Samsung chuyen sang nhai o cac dong tam trung it bi de y hon!?!"
-1,Apple cung tham gia san xuat Android a ?
-1,Hy vong ve VN gia tam trung. Nhu tam trung A7 qua dat! :(
-1,"Ip6. Thiet ke qua xau, 2 cai vach ang ten nhin kinh duoc. Mau thi mau con gai bede. Giac cam voi loa thiet ke khong dep so voi s6. Noi chung nhin tong the cai ip 6 cua ip xau tham te.xau khong tuong ( theo loi sam fan. )Cuoi cung sau 2 nam hoc hoi. anh sam da copy dx mau ip6 cua anh tao. Lai them duoc cai mau hong nam tinh ( fan sung bao the ).Nhu kieu thay lam gi tro lamVay. Mai mai chay theo khong thay met nhi."
-1,Sao chep re tien the? Se e la cai chac.
-1,"Duong dai moi biet ngua hay, xem 3 nam nua nhung chiec Galaaxy tung tung ho hon Iphone ve moi mat xem no lan dau het . Don gian nhat hay luc lai nhung bai viet cach day 4 nam khi Iphone 5 ra mat cung la Galaxy S3 ra mat nam 2012. Bay gio Iphone 4 ho van dung day, Iphone 5 van chay muot ma thi Galaxy S3 boi khong thay ai cam tren tay. Don gian do cua anh Sam dung 1-2 nam la bong troc hong bat dac ky lau tu roi trong khi tien sua qua tien mua may khac."
-1,"sao anh khong khac di vay anh sam sum....! cu mai lam giong the, anh co cai nao dot pha hon trong thiet ke khong...."
-1,"Con lay, kieu dang nguyen lieu thiet ke da y chang, y toi cai lo loa lo mic lo jack cung y chang khong muon noi roi, gio toi mau ma cung y chang chang luon, khong bot hay them dai 1 mau nao do cho do mag tieng, lo qua z roi sam fan lay gi ma an noi."
-1,Thieu moi qua tao o mat sau nua thoi
-1,Toi dung s7 day chua day 2 thang da chan. So luon anh em nha ho Sam
-1,Khuyen thang em trai mua Note 5 gio no noi cha ra gi. Android cha duoc muot sieu pham gi van giat lag. Cai but thi it dung. Thoi gian dau ve thi long lac nhe la roi. No rut dien thoai ra nghe manh tay 1 cai the la roi ra duong o to can qua. Di bao hanh SS bao bi loi cai lay gi do. Gio thi no khong rut duoc ra. Ra bao hanh thi bao khong con nguyen ven nen khong bao hanh. Cai cho cam but vao thi duoc thang da xuoc toe loe. Khuyen cac ban dung mua sieu pham cua Samsung. Phan mem thi qua cham cap nhat. Phan mem rac thi nhieu vo ke. That su qua that vong.
-1,Tu biet thuong hieu samsung. Mua 1 lan duy nhat va ca doi khong mua nua.
-1,"Noi that la khong thich cai man hinh cong ti nao,"
-1,"Minh cung vay tu truoc gio trung thanh voi iphone ,dang dung iphone6 ngon lanh ,thay quang cao con s6 + ngon qua the la ban con 6 len s6 dung thay rat ung y ve khoang camera va thiet ke ; man hinh dep ,luot web ok nhung trai nghiem thua xa con ip6 , ve pin thi qua te 3000ma nhung qua nhanh tut dung nhieu mot ngay sac hai lan , choi game thi lag kinh khung ,ban phim thi qua chan ,noi chung dung samsung chi duoc cam ngon thiet ke dep con lai thua xa iphone"
-1,"noi that APPLE xai chan , dang xai ip 6 plus ma thay luc nao cung phai cap nhat ban va loi APPLE , 9.1 roi , 9.1 . 9.3.1 roi gio 9.9.2 treo may."
-1,"Giong Samung qua, khong co gi moi, khong len doi nua cu splus dung thoi"
-1,Xau hon S6 active. nhung neu ve VN minh chon S7 active vi hinh nhu em no ho tro the nho. truoc lan tan S6 active nhung khong co the nho nen thoi :))
-1,"Nhin co van ngang truoc may xau qua. Toi van thich S6 Active hon, dang doi xach tay dong ngam nuoc chuan ve la hot"
-1,"Ba nut dieu huong nhin que que, khong con ham ho nua! S6 Active van dep nhat!"
-1,Hoa tiet van ngang o mat truoc may lam may trong xau kinh.
-1,"minh that su khong dam nhin vao cai hinh S7 active nay, cam giac bua bua the nao ay, mac du minh la fan cuong cua SS."
-1,Nhin nhu do choi con nit
-1,Chieu quang cao thoi ma
-1,Duoi thoi cua Steve Jobs chuyen nay khong bao gio xay ra
-1,nen sa thai het khau thiet ke di la vua....ip ngay cang xau
-1,"Kekeke...minh thi khong nghi the dau..nhin con 5s mau vang the hien su sang trong, mau vang hong thi nu tinh....mau tim...cha hieu de lam cai gi nua...ra de de phan biet voi 6 hay 6s chac...   apple thiet ke ngay mot di xuong...duoc cai moi la moi san pham them 1 mau cho de nhan biet..va tao cong an viec lam cho cac thim do mau o viet nam...."
-1,co 4 cai lo loa de phuc vu cho 1 loa thi co
-1,tim nhin giong do choi qua
-1,"Thiet ke y tuong tuong tu nhung xau hon ca iphone2. Ghet nhat Samsung la cai camera loi, iphone 6 loi len la cach mat luon. Gio iphone 7 thiet ke da xau ma con loi nua thi het y kien  ."
-1,"Icon nhin khong tinh te, hoi tho. Quan trong nhat cai man hinh chinh luc nao cung dap vao mat ma mau sac icon nhot nhat nhu may china."
-1,Roi chat luong anh co di xuong? LG that su khong phai la anh tai trong linh vuc may anh. Cac doi dien thoai LG mat du luc moi ra mat duoc PR chuc nang chup anh nhung khi su dung thuc te moi thay te. Cam bien LG chua phai la doi thu xung tam cua Sony
-1,Lai theo bac LG roi...thay doi vai cai lang nhang hinh thuc van vay chi khe duoc ifan thoi.so con lai ho di truoc vai nam roi...
-1,neu dung camera kep ma loi the kia thi ghom chet
-1,Truoc doc tin xem ip phat trien sao. H xem de biet ip xuong nhu nao :v
-1,Toi cung giong ban. Dang hong cai ket cua iphone se xuong doc nhu nao.
-1,The ma van giu ban 16GB duoc bac a... Ki cuc
-1,Apple dang thu tai kien nhan cua khach hang day ma. Chac ban 16G de the hien voi cac hang khac la he dieu hanh gon nhe 16G van chay tot. Con bo 128G vi muon thu nhieu tien hon tu ban 256 va ep nguoi dung chi duoc dung 64 thoi de con phai su dung .......... iClound. Chac sap thu tien phi su dung iClound roi ay chu (huy luon dung luong free thu phi tu khi su dung) oi cuong se bao nhu the la nang gia tri cua iP len mot tam cao moi ..... nho!
-1,Apple dang vung vay de tim moi cach hut mau khach hang
-1,Noi khong voi ap lap tuc tao do se tro ve thuc te thoi
-1,2016 - Iphone - who cares? :))
-1,That buon cho cac tin do cua IP ??????
-1,"qua nay lai bi iphone moc tui nua roi, 16 G gio chi de nghe voi goi"
-1,Khi iPhone ma chi cai tien cau hinh thi cung nhu smart phone Trung Quoc
-1,Bo luon 64GB cho no de.
-1,"That khong the hieu noi , thoi dai nay iPhone con xai bo nho trong 16GB , khong cho xai the nho not , ep khach hang mot cach tho thien . Roi se co ngay Apple phai nhan qua dang la khach hang quay lung cho xem ."
